source,target,weight
988427,988426,1
1089149,20,1
1100062,1100063,1
1100063,1100062,1
29496,20,1
18909,84925,1
84925,18909,1
283207,601224,1
283207,445934,1
283207,445935,1
601224,283207,1
601224,445934,1
601224,445935,1
445934,283207,1
445934,601224,1
445935,283207,1
445935,601224,1
575725,1376694,1
1376694,575725,1
1381532,1381533,1
1381533,1381532,1
1103607,687056,1
687056,1103607,1
27870,1199820,1
27870,1443233,1
27871,1443233,1
1199820,1443233,1
1443233,27870,1
1443233,27871,1
1443233,1199820,1
50429,854965,1
854965,50429,1
571280,1477929,1
1477929,571280,1
1479118,1479120,1
1538292,1538293,1
1538293,1538292,1
57315,65524,1
65524,57315,1
513931,1652186,1
1652186,513931,1
2086260,2086261,1
2086261,2086260,1
2336847,2336848,1
2336848,2336847,1
18189,30653,1
18189,11036,1
30653,18189,1
30653,11036,1
11036,18189,1
11036,30653,1
50820,50822,1
50821,50822,1
50822,50820,1
50822,50821,1
54954,48235,1
48235,54954,1
227633,227634,1
227633,227635,1
227634,227633,1
227634,227635,1
227635,227633,1
227635,227634,1
66728,245313,1
245313,66728,1
167081,256849,1
167081,519,1
256849,167081,1
256849,519,1
519,167081,1
519,256849,1
301722,301723,1
301723,301722,1
364498,364499,1
364499,364498,1
407949,407951,1
407950,407951,1
407951,407949,1
407951,407950,1
165435,549129,1
549129,165435,1
733124,149006,1
149006,733124,1
235170,735825,1
296899,199848,1
296899,736013,1
296899,736014,1
296899,736015,1
199848,296899,1
199848,736013,1
199848,736014,1
199848,736015,1
736013,296899,1
736013,199848,1
736013,736015,1
736014,296899,1
736014,199848,1
736014,736015,1
736015,296899,1
736015,199848,1
736015,736013,1
736015,736014,1
831224,227063,1
227063,831224,1
843013,80947,1
59091,258371,1
258371,59091,1
26735,994019,1
26735,55335,1
26735,994020,1
994019,26735,1
994019,55335,1
994019,994020,1
55335,26735,1
55335,994019,1
55335,994020,1
994020,26735,1
994020,994019,1
994020,55335,1
1026027,31378,1
31378,1026027,1
602323,289914,1
289914,602323,1
28816,210154,1
28816,158878,1
210154,28816,1
210154,158878,1
158878,28816,1
158878,210154,1
478582,1245258,1
1245258,478582,1
17302,97,1
97,17302,1
550313,165780,1
165780,550313,1
1443135,1443136,1
1443136,1443135,1
1454736,1454738,1
1454737,1454738,1
1454738,1454736,1
1454738,1454737,1
1454738,1454739,1
1454739,1454738,1
2119,5577,1
5577,2119,1
677991,1066152,1
165024,280466,1
280466,165024,1
52394,74388,1
74388,52394,1
17302,97,1
97,17302,1
68611,20,1
14368,36955,1
36955,14368,1
98722,1654638,1
98722,1654639,1
98722,1654640,1
98722,1654641,1
1654638,98722,1
1654638,1654639,1
1654638,1654640,1
1654638,1654641,1
1654639,98722,1
1654639,1654638,1
1654639,1654640,1
1654640,98722,1
1654640,1654638,1
1654640,1654639,1
1654640,1654641,1
1654641,98722,1
1654641,1654638,1
1654641,1654640,1
195021,12480,1
1677608,63648,1
1772429,188,1
188,1772429,1
2086391,2086392,1
2086392,2086391,1
21717,286500,1
286500,21717,1
2570873,119187,1
2570873,523731,1
119187,2570873,1
119187,523731,1
523731,2570873,1
523731,119187,1
39216,39218,1
39217,39218,1
39218,39216,1
39218,39217,1
50594,50595,1
58950,49886,1
49886,58950,1
81953,81955,1
247934,56779,1
56779,247934,1
321965,62124,1
321965,321966,1
62124,321965,1
62124,321966,1
321966,321965,1
321966,62124,1
476792,258796,1
258796,476792,1
477164,246191,1
59989,246191,1
246191,477164,1
246191,59989,1
266871,80411,1
80411,266871,1
90900,412876,1
412876,90900,1
194106,11621,1
11621,194106,1
725935,750221,1
12517,16980,1
16980,12517,1
23373,791117,1
23373,50594,1
23373,791119,1
791117,23373,1
791117,50594,1
791117,791119,1
50594,23373,1
50594,791117,1
791119,23373,1
791119,791117,1
238079,200539,1
200539,238079,1
200539,238078,1
238078,200539,1
249547,331356,1
331356,249547,1
827296,909510,1
18422,909510,1
909510,827296,1
909510,18422,1
940688,67891,1
940688,940689,1
67891,940688,1
67891,940689,1
940689,940688,1
940689,67891,1
35107,35105,1
35107,1014290,1
35105,35107,1
35105,1014290,1
1014290,35107,1
1014290,35105,1
1024105,1024106,1
1024106,1024105,1
1056102,19708,1
19708,1056102,1
20,1119297,1
1119297,20,1
1120513,1120514,1
1120514,1120513,1
1125934,487802,1
245857,487802,1
487802,1125934,1
487802,245857,1
487802,487974,1
487974,487802,1
1044011,1147851,1
1147851,1044011,1
364499,1148041,1
364499,3502,1
1148041,364499,1
3502,364499,1
39360,1167023,1
1199028,13755,1
13755,1199028,1
1215292,256849,1
256849,1215292,1
28816,210154,1
210154,28816,1
16774,285408,1
16774,238532,1
285408,16774,1
285408,238532,1
238532,16774,1
238532,285408,1
80947,1422083,1
