source,target,weight
22462,22461,1
1011094,1011095,1
1011095,1011094,1
153331,955621,1
955621,153331,1
302632,1031984,1
1031984,302632,1
108557,273084,1
273084,108557,1
273787,17269,1
17269,273787,1
13296,30848,1
13296,24898,1
30848,13296,1
30848,24898,1
24898,13296,1
24898,30848,1
275090,40411,1
275090,37607,1
40411,275090,1
40411,37607,1
37607,275090,1
37607,40411,1
50978,205884,1
205884,50978,1
60863,985568,1
1130599,1130600,1
1130600,1130599,1
1134250,706701,1
1134250,20,1
1134250,1134251,1
706701,1134250,1
706701,20,1
706701,1134251,1
20,1134250,1
20,706701,1
1134251,1134250,1
1134251,706701,1
12736,1152620,1
1152620,12736,1
1161109,1161111,1
1161110,1161111,1
1161111,1161109,1
1161111,1161110,1
226086,595246,1
226086,1165869,1
595246,226086,1
595246,1165869,1
1165869,226086,1
1165869,595246,1
1173622,1173623,1
1173623,1173622,1
1189096,1189097,1
1189096,1189098,1
1189096,272142,1
1189097,1189096,1
1189097,1189098,1
1189097,272142,1
1189098,1189096,1
1189098,1189097,1
1189098,272142,1
272142,1189096,1
272142,1189097,1
272142,1189098,1
1191823,490809,1
1191823,1910,1
119086,1910,1
490809,1910,1
1910,1191823,1
1910,119086,1
1910,490809,1
329427,682991,1
329427,147812,1
329427,1001845,1
329427,112609,1
682991,329427,1
682991,147812,1
682991,1001845,1
682991,112609,1
147812,329427,1
147812,682991,1
147812,112609,1
1001845,329427,1
1001845,682991,1
1001845,112609,1
112609,329427,1
112609,682991,1
112609,147812,1
112609,1001845,1
1195746,1195748,1
1195747,1195748,1
1195748,1195746,1
1195748,1195747,1
669076,1219349,1
669076,208449,1
669076,20,1
1219349,669076,1
1219349,208449,1
1219349,20,1
208449,669076,1
208449,1219349,1
20,669076,1
20,1219349,1
1226539,1226540,1
1226539,1226541,1
1226539,1226542,1
1226540,1226539,1
1226540,1226541,1
1226540,1226542,1
1226541,1226539,1
1226541,1226540,1
1226541,1226542,1
1226542,1226539,1
1226542,1226540,1
1226542,1226541,1
1236961,1236962,1
1236962,1236961,1
14210,263455,1
263455,14210,1
60556,1259056,1
1259056,60556,1
690479,1265567,1
690479,1265569,1
690479,1265571,1
20,1265569,1
20,1265571,1
1265567,1265569,1
1265567,1265571,1
1265568,1265569,1
1265568,1265571,1
1265569,690479,1
1265569,20,1
1265569,1265567,1
1265569,1265568,1
1265569,1265570,1
1265569,1265571,1
1265570,1265569,1
1265570,1265571,1
1265571,690479,1
1265571,20,1
1265571,1265567,1
